root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
23:04:21.244663 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15308:15344, ack 1, win 501, length 36
23:04:21.244737 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15344:15500, ack 1, win 501, length 156
23:04:21.244779 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15500:15536, ack 1, win 501, length 36
23:04:21.244844 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15536:15692, ack 1, win 501, length 156
23:04:21.244884 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15692:15728, ack 1, win 501, length 36
23:04:21.244932 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15728:15884, ack 1, win 501, length 156
23:04:21.244970 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15884:15920, ack 1, win 501, length 36
23:04:21.245010 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 15920:16076, ack 1, win 501, length 156
23:04:21.245040 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 10792, win 2482, length 0
23:04:21.245058 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16076:16112, ack 1, win 501, length 36
23:04:21.245109 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16112:16268, ack 1, win 501, length 156
23:04:21.245146 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16268:16304, ack 1, win 501, length 36
23:04:21.245192 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16304:16460, ack 1, win 501, length 156
23:04:21.245243 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16460:16496, ack 1, win 501, length 36
23:04:21.245295 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16496:16652, ack 1, win 501, length 156
23:04:21.245348 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16652:16688, ack 1, win 501, length 36
23:04:21.245403 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16688:16844, ack 1, win 501, length 156
23:04:21.245442 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16844:16880, ack 1, win 501, length 36
23:04:21.245488 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 16880:17036, ack 1, win 501, length 156
23:04:21.245525 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17036:17072, ack 1, win 501, length 36
23:04:21.245571 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17072:17228, ack 1, win 501, length 156
23:04:21.245634 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17228:17264, ack 1, win 501, length 36
23:04:21.245641 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17264:17420, ack 1, win 501, length 156
23:04:21.245693 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17420:17456, ack 1, win 501, length 36
23:04:21.245715 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17456:17612, ack 1, win 501, length 156
23:04:21.245750 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17612:17648, ack 1, win 501, length 36
23:04:21.245797 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17648:17788, ack 1, win 501, length 140
23:04:21.245834 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17788:17824, ack 1, win 501, length 36
23:04:21.245897 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17824:17980, ack 1, win 501, length 156
23:04:21.245941 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 17980:18016, ack 1, win 501, length 36
23:04:21.245995 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18016:18172, ack 1, win 501, length 156
23:04:21.246059 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18172:18364, ack 1, win 501, length 192
23:04:21.246098 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18364:18400, ack 1, win 501, length 36
23:04:21.246141 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 13824, win 2484, length 0
23:04:21.246164 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18400:18556, ack 1, win 501, length 156
23:04:21.246204 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18556:18592, ack 1, win 501, length 36
23:04:21.246252 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18592:18748, ack 1, win 501, length 156
23:04:21.246289 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18748:18784, ack 1, win 501, length 36
23:04:21.246336 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18784:18940, ack 1, win 501, length 156
23:04:21.246374 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18940:18976, ack 1, win 501, length 36
23:04:21.246420 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 18976:19132, ack 1, win 501, length 156
23:04:21.246457 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19132:19168, ack 1, win 501, length 36
23:04:21.246558 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19168:19324, ack 1, win 501, length 156
23:04:21.246599 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19324:19360, ack 1, win 501, length 36
23:04:21.246650 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19360:19516, ack 1, win 501, length 156
23:04:21.246693 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19516:19552, ack 1, win 501, length 36
23:04:21.246743 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19552:19708, ack 1, win 501, length 156
23:04:21.246782 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19708:19744, ack 1, win 501, length 36
23:04:21.246837 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19744:19900, ack 1, win 501, length 156
23:04:21.246874 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19900:19936, ack 1, win 501, length 36
