root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~#  tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
23:06:10.447389 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 12436:12472, ack 1, win 501, length 36
23:06:10.447462 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 12472:12668, ack 1, win 501, length 196
23:06:10.447504 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 12668:12704, ack 1, win 501, length 36
23:06:10.447555 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 12704:12900, ack 1, win 501, length 196
23:06:10.447596 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 12900:12936, ack 1, win 501, length 36
23:06:10.447644 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 12936:13132, ack 1, win 501, length 196
23:06:10.451638 IP bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727 > 142.93.146.161.ssh: Flags [.], ack 11544, win 2484, length 0
23:06:10.451674 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 13132:18504, ack 1, win 501, length 5372
23:06:10.451766 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 18504:18684, ack 1, win 501, length 180
23:06:10.451812 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 18684:18720, ack 1, win 501, length 36
23:06:10.451875 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 18720:18916, ack 1, win 501, length 196
23:06:10.451916 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 18916:18952, ack 1, win 501, length 36
